,CustomerId,Gender,Age,AgeGroup,Married,Dependents,noDependents,Referrals,noReferrals,PaperlessBilling,PaymentMethod,OnlineSecurity,OnlineBackup,TechSupport,UnlimitedData,AvgDownloadGB,StartDate,EndDate,EndDateTmp,ChurnLabel,ChurnScore,ChurnCategory,ChurnReason,CustomerLTV,SatisScore,TotalExtraDataCharge,AvgRoamCharge,TotalRoamCharge,Tenure_month,Sum_charge,Monthly_charge,ReasonCategory
38,C-10040,남성,60,60대,Yes,Yes,3,Yes,7,Yes,계좌이체,No,No,No,Yes,23,2018-10-01,,2022-01-01,No,46,,,4994,3,0,28590,770660,39.0,3410100.0,87438.0,
39,C-10041,남성,69,60대,No,No,0,No,0,Yes,계좌이체,Yes,No,No,Yes,27,2021-08-01,2021-10-01,2021-10-01,Yes,89,Competitor,Competitor had better devices,3475,2,0,49720,99440,3.0,174500.0,58167.0,PS
40,C-10042,여성,20,20대,No,No,0,No,0,No,신용카드,No,Yes,Yes,Yes,59,2018-10-01,,2022-01-01,No,54,,,2297,3,0,55260,1492280,39.0,3554600.0,91144.0,
41,C-10043,남성,31,30대,Yes,Yes,3,Yes,1,No,신용카드,No,No,No,No,0,2018-12-01,,2022-01-01,No,65,,,5230,3,0,26780,669300,37.0,1127200.0,30465.0,
42,C-10044,남성,46,40대,Yes,No,0,Yes,5,Yes,계좌이체,Yes,Yes,No,Yes,19,2018-12-01,,2022-01-01,No,66,,,3807,3,0,7350,182270,37.0,2645500.0,71500.0,
43,C-10045,남성,57,50대,No,Yes,1,No,0,Yes,신용카드,Yes,Yes,Yes,Yes,21,2018-08-01,,2022-01-01,No,73,,,3290,4,0,0,0,41.0,2138100.0,52149.0,
44,C-10046,남성,27,20대,No,No,0,Yes,5,Yes,계좌이체,No,Yes,Yes,Yes,52,2015-01-01,,2022-01-01,No,76,,,6322,3,0,36610,2632790,84.0,8402000.0,100024.0,
45,C-10047,여성,64,60대,No,No,0,No,0,No,신용카드,No,Yes,No,Yes,12,2019-11-01,,2022-01-01,No,57,,,4298,3,0,27120,380360,26.0,1655200.0,63662.0,
46,C-10048,여성,38,30대,No,No,0,No,0,Yes,계좌이체,No,No,Yes,Yes,2,2018-02-01,,2022-01-01,No,36,,,3244,3,0,41130,1440410,47.0,5432400.0,115583.0,
47,C-10049,남성,54,50대,No,No,0,No,0,Yes,신용카드,No,No,No,Yes,9,2020-12-01,,2022-01-01,No,57,,,4427,5,0,48590,48590,13.0,681200.0,52400.0,
48,C-10050,남성,50,50대,No,No,0,No,0,Yes,계좌이체,No,No,Yes,No,17,2018-08-01,,2022-01-01,No,60,,,4561,5,22600,2370,67240,41.0,4434100.0,108149.0,
49,C-10051,남성,25,20대,No,No,0,No,0,No,계좌이체,Yes,Yes,Yes,No,69,2015-09-01,,2022-01-01,No,67,,,4761,3,45200,6220,397080,76.0,7279600.0,95784.0,
50,C-10052,여성,35,30대,Yes,Yes,3,Yes,1,Yes,신용카드,No,No,Yes,Yes,53,2017-10-01,,2022-01-01,No,43,,,4447,3,0,27570,1074400,51.0,5979500.0,117245.0,
51,C-10053,여성,72,70대,No,No,0,No,0,Yes,계좌이체,No,No,No,Yes,23,2017-09-01,,2022-01-01,No,59,,,5742,3,0,49830,1995130,52.0,5574700.0,107206.0,
52,C-10054,남성,51,50대,No,No,0,No,0,Yes,신용카드,No,Yes,No,Yes,15,2018-03-01,2021-07-01,2021-07-01,Yes,93,Competitor,Competitor had better devices,2832,1,0,42600,1703590,41.0,5015100.0,122320.0,PS
53,C-10055,여성,78,70대,No,Yes,1,No,0,Yes,계좌이체,No,Yes,No,No,29,2020-05-01,2021-04-01,2021-04-01,Yes,85,Cosumer,Product dissatisfaction,5980,1,135600,13110,144080,12.0,1377100.0,114758.0,PS
54,C-10056,여성,30,30대,Yes,No,0,Yes,10,No,계좌이체,No,No,No,Yes,85,2020-07-01,,2022-01-01,No,74,,,3442,3,0,48250,289280,18.0,1060200.0,58900.0,
55,C-10057,남성,58,50대,No,No,0,No,0,Yes,이체/메일확인,Yes,No,No,Yes,15,2018-07-01,,2022-01-01,No,48,,,5039,3,0,2940,89500,42.0,3143400.0,74843.0,
56,C-10058,남성,26,20대,No,No,0,No,0,Yes,계좌이체,No,No,No,No,0,2018-10-01,,2022-01-01,No,39,,,3792,5,0,23390,630310,39.0,886400.0,22728.0,
57,C-10059,남성,66,60대,Yes,No,0,Yes,3,Yes,계좌이체,No,Yes,No,Yes,28,2015-03-01,,2022-01-01,No,57,,,5291,5,0,44640,3123660,82.0,10210000.0,124512.0,
58,C-10060,여성,20,20대,No,No,0,Yes,10,Yes,계좌이체,No,Yes,Yes,Yes,73,2016-04-01,,2022-01-01,No,65,,,6026,5,0,9040,515960,69.0,8914000.0,129188.0,
59,C-10061,남성,61,60대,Yes,No,0,Yes,10,No,신용카드,No,No,No,Yes,18,2016-03-01,,2022-01-01,No,30,,,5232,5,0,20790,1204020,70.0,4164900.0,59499.0,
60,C-10062,남성,24,20대,No,No,0,No,0,Yes,계좌이체,No,Yes,No,Yes,48,2019-09-01,,2022-01-01,No,39,,,3360,5,0,29040,464880,28.0,2282300.0,81511.0,
61,C-10063,여성,55,50대,Yes,No,0,Yes,3,Yes,계좌이체,Yes,Yes,Yes,Yes,27,2015-04-01,,2022-01-01,No,37,,,4216,3,0,43510,3003430,81.0,10957300.0,135275.0,
62,C-10065,남성,59,50대,No,No,0,No,0,Yes,계좌이체,No,No,No,Yes,25,2021-01-01,2021-02-01,2021-02-01,Yes,93,Competitor,Attitude of support person,4214,1,0,45990,45990,2.0,227700.0,113850.0,PS
63,C-10066,남성,71,70대,Yes,Yes,1,Yes,9,Yes,이체/메일확인,No,Yes,No,Yes,23,2018-05-01,,2022-01-01,No,62,,,2844,5,0,36050,1152040,44.0,4802200.0,109141.0,
64,C-10067,남성,49,40대,Yes,Yes,2,Yes,8,Yes,계좌이체,No,No,No,Yes,12,2019-09-01,,2022-01-01,No,66,,,5560,3,0,55030,880720,28.0,3005700.0,107346.0,
65,C-10068,남성,61,60대,Yes,No,0,Yes,1,No,계좌이체,Yes,No,Yes,Yes,10,2017-09-01,2021-10-01,2021-10-01,Yes,73,Competitor,Competitor offered higher download speeds,6452,2,0,44750,2189940,50.0,4891300.0,97826.0,PS
66,C-10069,여성,40,40대,Yes,No,0,Yes,2,No,계좌이체,No,Yes,Yes,Yes,29,2015-02-01,,2022-01-01,No,76,,,5224,5,0,0,0,83.0,5754900.0,69336.0,
67,C-10070,여성,39,30대,No,No,0,No,0,No,계좌이체,No,Yes,No,Yes,12,2018-04-01,,2022-01-01,No,33,,,4800,3,0,56160,1852970,45.0,5665300.0,125896.0,
68,C-10071,여성,21,20대,No,No,0,Yes,9,Yes,계좌이체,No,No,No,No,0,2020-03-01,,2022-01-01,No,54,,,3831,4,0,56050,560480,22.0,507000.0,23045.0,
69,C-10072,남성,24,20대,No,No,0,Yes,1,Yes,계좌이체,No,Yes,Yes,No,59,2020-03-01,2021-12-01,2021-12-01,Yes,89,Company,Attitude of service provider,4123,3,135600,41020,860500,22.0,2908600.0,132209.0,CS
70,C-10073,남성,52,50대,Yes,Yes,1,Yes,1,No,계좌이체,Yes,Yes,No,Yes,23,2018-09-01,2021-10-01,2021-10-01,Yes,80,Competitor,Competitor offered more data,3627,2,0,0,0,38.0,1775700.0,46729.0,PS
71,C-10074,여성,71,70대,No,No,0,No,0,Yes,신용카드,Yes,No,No,Yes,7,2018-11-01,,2022-01-01,No,46,,,5700,3,0,38080,991240,38.0,3880900.0,102129.0,
72,C-10075,남성,45,40대,No,No,0,No,0,Yes,신용카드,Yes,No,Yes,Yes,7,2016-11-01,,2022-01-01,No,36,,,5052,3,0,0,0,62.0,2628500.0,42395.0,
73,C-10076,여성,29,20대,No,No,0,No,0,Yes,계좌이체,No,No,No,Yes,26,2020-12-01,2021-07-01,2021-07-01,Yes,67,Company,Price too high,2473,3,0,32320,226340,8.0,671500.0,83938.0,Price
74,C-10077,여성,62,60대,Yes,No,0,Yes,1,No,이체/메일확인,Yes,Yes,Yes,Yes,28,2015-12-01,,2022-01-01,No,40,,,5152,4,0,53340,3252820,73.0,7547900.0,103396.0,
75,C-10078,남성,42,40대,No,No,0,No,0,Yes,계좌이체,No,No,Yes,Yes,12,2020-01-01,2021-04-01,2021-04-01,Yes,99,Company,Attitude of service provider,3025,2,0,51870,778340,16.0,1874800.0,117175.0,CS
76,C-10079,여성,51,50대,No,Yes,2,No,0,No,신용카드,Yes,No,Yes,Yes,19,2018-11-01,,2022-01-01,No,45,,,3287,4,0,0,0,38.0,2022900.0,53234.0,
77,C-10080,남성,39,30대,Yes,No,0,Yes,9,Yes,계좌이체,No,No,No,Yes,23,2015-01-01,,2022-01-01,No,20,,,5943,3,0,37520,2702730,84.0,9296600.0,110674.0,
78,C-10081,남성,64,60대,Yes,No,0,Yes,1,Yes,계좌이체,No,No,No,No,0,2017-05-01,,2022-01-01,No,59,,,3093,3,0,30960,1362330,56.0,1338600.0,23904.0,
79,C-10082,남성,55,50대,No,No,0,No,0,No,신용카드,No,Yes,No,No,8,2015-07-01,,2022-01-01,No,49,,,4889,3,45200,55140,3638040,78.0,8236400.0,105595.0,
80,C-10083,여성,40,40대,No,No,0,No,0,Yes,계좌이체,Yes,Yes,Yes,Yes,16,2021-08-01,2021-10-01,2021-10-01,Yes,94,Competitor,Competitor offered higher download speeds,3529,2,0,41580,83170,3.0,295800.0,98600.0,PS
81,C-10084,여성,76,70대,No,No,0,No,0,No,계좌이체,No,No,Yes,Yes,17,2017-05-01,,2022-01-01,No,71,,,3253,5,0,8700,383860,56.0,4902300.0,87541.0,
82,C-10085,여성,57,50대,No,No,0,No,0,Yes,계좌이체,No,Yes,No,Yes,6,2020-07-01,2021-07-01,2021-07-01,Yes,97,Company,Attitude of support person,5671,3,0,16270,195040,13.0,1397000.0,107462.0,PS
83,C-10086,남성,71,70대,Yes,No,0,Yes,1,Yes,계좌이체,No,Yes,Yes,Yes,17,2015-04-01,,2022-01-01,No,63,,,4297,5,0,20790,1435440,81.0,10491300.0,129522.0,
84,C-10088,여성,24,20대,No,No,0,No,0,No,신용카드,No,No,No,No,0,2020-11-01,2021-02-01,2021-02-01,Yes,95,Company,Extra data charges,3398,1,0,29150,87350,4.0,93100.0,23275.0,Price
85,C-10089,여성,31,30대,No,No,0,Yes,10,No,계좌이체,Yes,Yes,No,Yes,53,2020-11-01,,2022-01-01,No,29,,,5361,3,0,5310,10510,14.0,1614600.0,115329.0,
86,C-10090,여성,77,70대,No,No,0,No,0,Yes,계좌이체,No,Yes,No,Yes,4,2018-10-01,,2022-01-01,No,77,,,5990,4,0,3390,90630,39.0,4043900.0,103690.0,
87,C-10091,남성,57,50대,No,No,0,No,0,Yes,계좌이체,No,No,No,No,0,2018-11-01,,2022-01-01,No,68,,,5712,5,0,15030,391880,38.0,909800.0,23942.0,
88,C-10092,여성,73,70대,Yes,No,0,Yes,9,Yes,계좌이체,No,No,Yes,Yes,21,2017-10-01,,2022-01-01,No,77,,,3172,4,0,22830,888070,51.0,5981900.0,117292.0,
89,C-10093,남성,41,40대,No,No,0,No,0,Yes,계좌이체,No,No,No,Yes,8,2019-04-01,2021-05-01,2021-05-01,Yes,82,Company,Price too high,5641,1,0,39440,985360,26.0,2910700.0,111950.0,Price
90,C-10094,여성,43,40대,No,No,0,No,0,No,이체/메일확인,No,No,No,Yes,23,2021-01-01,2021-02-01,2021-02-01,Yes,78,Competitor,Attitude of support person,4739,1,0,44970,44970,2.0,157800.0,78900.0,PS
91,C-10095,남성,48,40대,Yes,No,0,Yes,1,Yes,계좌이체,Yes,No,Yes,Yes,21,2019-06-01,2021-04-01,2021-04-01,Yes,87,Company,Attitude of service provider,5102,2,0,30740,677210,23.0,1492500.0,64891.0,CS
92,C-10096,여성,56,50대,No,No,0,No,0,Yes,계좌이체,Yes,Yes,Yes,Yes,5,2015-01-01,,2022-01-01,No,69,,,4589,4,0,54690,3935340,84.0,11264500.0,134101.0,
93,C-10097,여성,51,50대,No,No,0,No,0,Yes,계좌이체,No,No,No,No,0,2019-01-01,,2022-01-01,No,34,,,2511,5,0,11980,288600,36.0,833600.0,23156.0,
94,C-10098,여성,34,30대,Yes,No,0,Yes,8,Yes,계좌이체,No,No,No,Yes,16,2019-06-01,,2022-01-01,No,64,,,5072,5,0,8810,168370,31.0,3223300.0,103977.0,
95,C-10099,남성,21,20대,No,No,0,Yes,2,No,신용카드,No,No,No,No,0,2015-02-01,,2022-01-01,No,68,,,5747,5,0,10400,738120,83.0,2496300.0,30076.0,
96,C-10100,남성,78,70대,Yes,No,0,Yes,7,Yes,계좌이체,Yes,No,Yes,Yes,20,2018-04-01,,2022-01-01,No,59,,,5655,3,0,28480,937900,45.0,5742700.0,127616.0,
97,C-10101,여성,60,60대,No,No,0,No,0,No,신용카드,No,No,No,No,0,2020-10-01,,2022-01-01,No,74,,,5949,3,0,3050,9150,15.0,370400.0,24693.0,
98,C-10102,남성,54,50대,Yes,Yes,1,Yes,7,No,계좌이체,No,Yes,No,Yes,13,2017-02-01,,2022-01-01,No,76,,,3760,3,0,1240,57860,59.0,6044100.0,102442.0,
99,C-10103,남성,42,40대,Yes,Yes,3,Yes,2,No,신용카드,Yes,Yes,Yes,Yes,20,2015-11-01,,2022-01-01,No,43,,,5298,4,0,2030,123280,74.0,9585600.0,129535.0,
100,C-10104,남성,22,20대,No,No,0,No,0,Yes,계좌이체,Yes,Yes,Yes,Yes,48,2015-02-01,,2022-01-01,No,59,,,4644,4,0,3280,231090,83.0,11427800.0,137684.0,
101,C-10105,남성,71,70대,Yes,No,0,Yes,8,Yes,계좌이체,No,No,No,Yes,11,2020-06-01,,2022-01-01,No,36,,,5711,4,0,47460,331990,19.0,2005300.0,105542.0,
102,C-10106,여성,56,50대,Yes,Yes,2,Yes,6,No,신용카드,Yes,No,No,Yes,28,2018-10-01,,2022-01-01,No,57,,,4331,3,0,52770,1423570,39.0,3416800.0,87610.0,
103,C-10107,남성,33,30대,No,No,0,No,0,No,신용카드,No,No,No,No,0,2020-11-01,,2022-01-01,No,59,,,4978,3,0,2030,4070,14.0,328600.0,23471.0,
104,C-10108,여성,32,30대,No,Yes,3,No,0,No,계좌이체,Yes,No,Yes,Yes,75,2018-12-01,,2022-01-01,No,69,,,2754,4,0,0,0,37.0,1529200.0,41330.0,
105,C-10109,남성,80,80대,No,No,0,No,0,Yes,계좌이체,Yes,Yes,No,Yes,5,2018-07-01,,2022-01-01,No,55,,,3033,4,0,43620,1308880,42.0,3818400.0,90914.0,
106,C-10110,여성,73,70대,Yes,No,0,Yes,1,Yes,신용카드,Yes,Yes,Yes,Yes,19,2016-03-01,2021-01-01,2021-01-01,Yes,100,Company,Attitude of support person,5067,1,0,19100,1110230,59.0,7260800.0,123064.0,PS
107,C-10111,남성,26,20대,Yes,No,0,Yes,1,Yes,계좌이체,No,No,No,No,82,2020-05-01,2021-03-01,2021-03-01,Yes,75,Competitor,Competitor offered more data,3573,3,113000,2260,22830,11.0,1122200.0,102018.0,PS
108,C-10112,여성,59,50대,No,No,0,No,0,Yes,신용카드,No,No,No,Yes,28,2020-04-01,,2022-01-01,No,68,,,5841,5,0,10510,94240,21.0,1824000.0,86857.0,
109,C-10113,여성,78,70대,Yes,No,0,Yes,1,Yes,계좌이체,No,No,No,Yes,17,2021-04-01,2021-10-01,2021-10-01,Yes,77,Cosumer,Deceased,5721,3,0,32430,194700,7.0,746700.0,106671.0,Other
110,C-10114,여성,47,40대,Yes,Yes,1,Yes,7,No,계좌이체,Yes,No,No,No,16,2015-04-01,,2022-01-01,No,49,,,5629,3,45200,43960,3034620,81.0,8236300.0,101683.0,
111,C-10115,여성,68,60대,No,No,0,No,0,Yes,계좌이체,Yes,No,No,Yes,20,2015-07-01,,2022-01-01,No,69,,,4861,3,0,11870,779360,78.0,9481000.0,121551.0,
112,C-10116,여성,30,30대,No,No,0,No,0,No,신용카드,Yes,Yes,Yes,Yes,52,2015-10-01,2021-08-01,2021-08-01,Yes,87,Cosumer,Network reliability,4838,1,0,11530,807610,71.0,9638000.0,135746.0,PS
113,C-10117,남성,62,60대,No,No,0,No,0,No,계좌이체,No,No,No,No,0,2019-09-01,2021-10-01,2021-10-01,Yes,79,Company,Lack of affordable download/upload speed,3779,3,0,6330,157410,26.0,794900.0,30573.0,PS
114,C-10118,여성,52,50대,Yes,Yes,2,Yes,1,Yes,신용카드,No,No,No,No,0,2017-03-01,,2022-01-01,No,77,,,5596,5,0,27460,1264700,58.0,1334100.0,23002.0,
115,C-10119,여성,63,60대,Yes,No,0,Yes,7,Yes,신용카드,Yes,Yes,Yes,Yes,26,2016-07-01,,2022-01-01,No,67,,,4488,4,0,12880,695630,66.0,8958400.0,135733.0,
116,C-10120,여성,54,50대,No,No,0,No,0,No,계좌이체,Yes,No,Yes,Yes,7,2020-09-01,2021-12-01,2021-12-01,Yes,84,Competitor,Competitor made better offer,2122,1,0,25310,379570,16.0,1961600.0,122600.0,PS
117,C-10121,여성,48,40대,Yes,Yes,1,No,0,No,계좌이체,No,No,No,No,0,2020-01-01,,2022-01-01,No,29,,,3713,3,0,9380,111870,24.0,542200.0,22592.0,
118,C-10122,여성,51,50대,No,No,0,No,0,Yes,계좌이체,No,Yes,No,Yes,22,2019-03-01,,2022-01-01,No,73,,,2875,3,0,0,0,34.0,2011500.0,59162.0,
119,C-10123,여성,22,20대,No,No,0,Yes,9,No,계좌이체,No,Yes,Yes,Yes,85,2015-03-01,,2022-01-01,No,42,,,5640,4,0,0,0,82.0,5600300.0,68296.0,
120,C-10124,남성,52,50대,No,No,0,No,0,Yes,신용카드,Yes,Yes,No,No,20,2018-07-01,,2022-01-01,No,66,,,5393,4,146900,27910,838350,42.0,4190200.0,99767.0,
121,C-10125,남성,22,20대,No,No,0,Yes,1,No,계좌이체,No,Yes,No,Yes,59,2015-02-01,,2022-01-01,No,37,,,5876,5,0,31980,2273670,83.0,9953600.0,119923.0,
122,C-10126,남성,33,30대,Yes,No,0,Yes,2,No,신용카드,No,No,No,No,0,2018-07-01,,2022-01-01,No,74,,,4006,5,0,11070,332560,42.0,1008600.0,24014.0,
123,C-10127,남성,26,20대,Yes,No,0,Yes,5,Yes,계좌이체,No,Yes,No,Yes,19,2021-07-01,2021-11-01,2021-11-01,Yes,73,Competitor,Don't know,4939,3,0,32540,130060,5.0,490800.0,98160.0,Other
124,C-10128,남성,58,50대,No,No,0,No,0,Yes,계좌이체,No,No,No,Yes,28,2020-11-01,2021-01-01,2021-01-01,Yes,67,Competitor,Competitor offered more data,3273,1,0,15930,31980,3.0,293300.0,97767.0,PS
125,C-10129,남성,22,20대,No,Yes,1,No,0,Yes,계좌이체,No,No,No,No,0,2020-03-01,,2022-01-01,No,48,,,3044,5,0,8930,88820,22.0,516400.0,23473.0,
126,C-10130,남성,66,60대,No,No,0,No,0,No,계좌이체,Yes,No,No,Yes,29,2020-09-01,,2022-01-01,No,40,,,4033,3,0,41130,164530,16.0,1449900.0,90619.0,
127,C-10131,남성,69,60대,No,No,0,No,0,Yes,신용카드,Yes,No,No,Yes,19,2016-09-01,,2022-01-01,No,67,,,4865,3,0,0,0,64.0,3686800.0,57606.0,
128,C-10132,남성,25,20대,No,No,0,No,0,No,계좌이체,No,No,No,Yes,85,2021-02-01,2021-07-01,2021-07-01,Yes,82,Competitor,Competitor offered higher download speeds,2857,2,0,24860,124410,6.0,334500.0,55750.0,PS
